,No,Site ID,Fuel Acc,Updated Site Name,Company Name,Region,TA,Segment,Sub Segment,Station Add,Postcode,District,State,Site ID 2,Latitude,Longitude,region,id,Sales_70020771,Sales_70100346,Total Sales,Assigned Township
30,32.0,RYB0112,90041842.0,JALAN PANDANGAN,JALAN PANDANGAN SSZ SERVICE STATION,CENTRAL 1,C02,Urban,Residential,"Lot 27956-27958, Jalan Pandangan, Kg Raja Uda, Pelabuhan Klang",42000.0,Klang,Selangor,RYB0112,3.015217,101.411896,Central,90041842,8571.5,700.5,9272.0,Pandamaran
31,33.0,RYB0572,90041990.0,PANDAMARAN INDAH,YAKSHA TRADING,CENTRAL 1,C02,Urban,Residential,"Lot PT 26061, Solok Pendamar Indah 1, Taman Pendamar Indah, Pelabuhan Klang",42000.0,Klang,Selangor,RYB0572,2.986864,101.418237,Central,90041990,10103.5,11460.0,21563.5,Glenmarie Covie
32,34.0,RYB0265,90042203.0,PEKAN PANDAMARAN,MYRAIS ENTERPRISE,CENTRAL 1,C02,Urban,Residential,"Lot PT 31182, Kampung Baru, Pekan Pandamaran, Pelabuhan Klang",42000.0,Klang,Selangor,RYB0265,3.008219,101.415743,Central,90042203,6068.0,2170.5,8238.5,Pandamaran
33,35.0,RYB0263,90043756.0,BT 2 JLN MERU,NADI MESAH ENTERPRISE,CENTRAL 1,C02,Urban,Residential,"Lot 3585, Km 1, Jalan Meru, Klang, Selangor",41050.0,Klang,Selangor,RYB0263,3.061989,101.452326,Central,90043756,4352.5,707.0,5059.5,Bukit Raja
34,36.0,RYB0534,90046374.0,PER. RAJA MUDA MUSA,SSZ JAYA SERVISE STATION,CENTRAL 1,C02,Urban,Transient,"Lot 5912, No.5, Persiaran Raja Muda Musa",41100.0,Klang,Selangor,RYB0534,3.024631,101.422394,Central,90046374,7885.0,2039.0,9924.0,Pandamaran
35,37.0,RYB1193,90047859.0,TAMAN KOTA PENDAMAR,THAQIF KEM SERVICES,CENTRAL 1,C02,Urban,Transient,"Lot 137939, Lebuhraya Pelabuhan Barat/KS05, Taman Kota Pendamar",42000.0,Klang,Selangor,RYB1193,2.989281,101.409696,Central,90047859,11045.0,15635.0,26680.0,Glenmarie Covie
36,39.0,RYB0716,90047708.0,GLENMARIE TTDI JAYA,NAJAH SERVICES,CENTRAL 1,C03,Urban,Residential,"24, Jalan Juruwang AU1/A Seksyen U1Shah Alam",40150.0,Petaling,Selangor,RYB0716,3.095733,101.556552,Central,90047708,10911.0,2092.5,13003.5,Damansara
37,40.0,RYB0758,90034051.0,NKVE,BERKAT VISTA,CENTRAL 1,C03,Highway,Intrastate,"Lot 15385 Km 15.3 NKVE-Damansara Bound, Damansara, Selangor",47301.0,Petaling,Selangor,RYB0758,3.11899,101.593116,Central,90034051,19235.5,22385.0,41620.5,Petaling Jaya
38,41.0,RYB0723,90034875.0,FAS FEDERAL HIGHWAY 1,LAGENDA FAS SDN BHD,CENTRAL 1,C03,Highway,Intrastate,"KM 8.6 - KM 8.7, Seksyen 1, Lebuh Raya Persekutuan, Shah Alam,Selangor",40450.0,Petaling,Selangor,RYB0723,3.063248,101.499988,Central,90034875,23093.5,5800.0,28893.5,Shah Alam
39,42.0,RYB0743,90036095.0,SEKSYEN 22,UMIZ SERVICE STATION,CENTRAL 1,C03,Urban,Transient,"Lot 52548, 52549 & 52550, Section 22 Shah Alam, Mukim Damansara, Selangor",40300.0,Petaling,Selangor,RYB0743,3.061169,101.556344,Central,90036095,11196.0,3563.0,14759.0,Subang Jaya
40,43.0,RYB0835,90036751.0,SEKSYEN 13,GANDA MESRA ENTERPRISE,CENTRAL 1,C03,Urban,Residential,"Lot 445, No.2 , Jalan Akuatik A 13/64A, Seksyen 13, Shah Alam, Selangor",40100.0,Petaling,Selangor,RYB0835,3.078349,101.546816,Central,90036751,23564.5,1984.5,25549.0,Damansara
41,44.0,RYB0943,90036976.0,NKVE KLANG BOUND,DELL KIOSK,CENTRAL 1,C03,Highway,Intrastate,"New Klang Valley Expressway (NKVE), Bukit Raja Toll (Klang Bound), Klang, Seksyen 7 Shah Alam",40000.0,Shah Alam,Selangor,RYB0943,3.070983,101.473203,Central,90036976,7104.0,6277.5,13381.5,Telok Menegun
42,45.0,RYB0959,90038491.0,JLN PLUMBUM SEK 7,AIKHALMAN ENTERPRISE,CENTRAL 1,C03,Urban,Residential,"No. 1 Persiaran Kayangan, Jalan Plumbum P7/P, Fasa 3C, Shah Alam, Selangor",40000.0,Petaling,Selangor,RYB0959,3.06938,101.49066,Central,90038491,18000.0,1750.0,19750.0,Shah Alam
43,46.0,RYB1037,90047287.0,SETIA ALAM,SAMUSIM DUA ENTERPRISE,CENTRAL 1,C03,Urban,Transient,"No.1, Jalan Setia Murni U13/50, Setia Alam, Seksyen U13, Bandar Setia Alam Shah Alam 40170 Selangor",40170.0,Petaling,Selangor,RYB1037,3.109443,101.447431,Central,90047287,19273.0,5492.0,24765.0,Meru
44,47.0,RYB0839,90038703.0,NKVE SUBANG,MH GLOBAL ENTERPRISE,CENTRAL 1,C03,Highway,Intrastate,"Lot PT 111 HS (M) 10261 Section 40, Subang, Selangor",47301.0,Petaling,Selangor,RYB0839,3.100208,101.590232,Central,90038703,9948.5,7363.5,17312.0,Petaling Jaya
45,48.0,RYB0713,90039791.0,ARA DAMANSARA,KFS PETROMART,CENTRAL 1,C03,Urban,Residential,"LOT 1423, Mukim Damansara, Jln PJU 1A/20 Ara Damansara, Selangor",47600.0,Petaling,Selangor,RYB0713,3.123527,101.575333,Central,90039791,23193.5,2957.0,26150.5,Petaling Jaya
46,49.0,RYB1036,90040169.0,KLANG SENTRAL,MARGA PERSONA ENTERPRISE,CENTRAL 1,C03,Urban,Transient,"Lot PT 64329 HS(D) 136027, Jalan Haji Abdul Manan, Mukim Kapar, Selangor",41050.0,Klang,Selangor,RYB1036,3.11203,101.43475,Central,90040169,10426.0,7968.0,18394.0,Meru
47,50.0,RYB0337,90040594.0,SEC. 6 SHAH ALAM,ALYA SARA UMARUDDIN ENTERPRISE,CENTRAL 1,C03,Urban,Residential,"Lot 435,  Jalan Nuri 6/61, Seksyen 6, Shah Alam",40000.0,Petaling,Selangor,RYB0337,3.083835,101.507417,Central,90040594,20775.5,1414.0,22189.5,Shah Alam
48,51.0,RYB0919,90040677.0,SEKSYEN 18,HANZ BIZ SERVICES,CENTRAL 1,C03,Urban,Residential,"Lot PT 115, Jalan Pinang 18/A, Persiaran Jubli Perak, Seksyen 18, Shah Alam, Selangor",40200.0,Petaling,Selangor,RYB0919,3.044897,101.515517,Central,90040677,15698.5,1923.5,17622.0,Shah Alam
